Name point,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
Kärntnerstraße *,shop.wien-kaerntnerstrasse@t-mobile.at,Kärntnerstraße  32,1010,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Rotenturmstrasse,shop.wien-rotenturmstrasse@t-mobile.at,Rotenturmstrasse 22,1010,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Millennium City ,shop.wien-Millennium-city@t-mobile.at,Handelskai 94-96 TOP E 15.0,1200,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Mitte The Mall ,shop.wien-mitte@t-mobile.at,"Landstrasser Hauptstrasse 1B, E01, Top 104",1030,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Mariahilferstrasse *,shop.wien-mariahilf@t-mobile.at,Mariahilferstrasse 86,1070,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Favoriten ,shop.wien-favoriten@t-mobile.at,Viktor-Adler-Platz 12,1100,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Hietzing ,shop.wien-hietzing@t-mobile.at,Hietzinger Hauptstraße 7,1130,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Lugner City ,shop.wien-lugner-city@t-mobile.at,"Gablenzgasse 11, UG Top 4",1150,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ SCN ,shop.wien-scn@t-mobile.at ,"Ignaz Köck Straße 1-7, Top 232",1210,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Donau Zentrum *,shop.wien-donauzentrum@t-mobile.at,"Wagramer Straße 94, Top 740",1220,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
T-Center ,shop.wien-t-center@t-mobile.at,Rennweg 97-99,1030,Wien,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
FMZ Mattersburg ,shop.mattersburg@t-mobile.at,Arenaplatz 5/Top 9   ,7210,Mattersburg,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
SCS II *,shop.voesendorf-scsII@t-mobile.at,"SCS Eingang 6, OG Top 14",2334,Vösendorf-Süd,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Fischapark *,shop.wr-neustadt-fischapark@t-mobile.at,"Zehnergürtel 12-24, Top EG 028",2700,Wr. Neustadt,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Gerasdorf ,shop.gerasdorf@t-mobile.at,G3 Shopping Resort EG-D-106/EG-D-090 ,2201,Gerasdorf,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Traisenpark ,shop.st-poelten-traisenpark@t-mobile.at,"Dr.Adolf Schärf Straße 5, Top S/56",3107,St.Pölten,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ CCA ,shop.amstetten-sca@t-mobile.at,"Waidhofnerstrasse 2, Top 3/6",3300,Amstetten,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Bühlcenter ,shop.krems-buehlcenter@t-mobile.at,Wiener Straße 96-102 EG2 Piazza - Top03,3500,Krems,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Landstrasse,shop.linz-landstrasse@t-mobile.at,Landstrasse 14,4020,Linz,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ PlusCity *,shop.linz-plus-city@t-mobile.at,Pluskaufstraße 7 TOP103,4061,Pasching,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Steyr ,shop.steyr-stadtplatz@t-mobile.at,Grünmarkt 8,4400,Steyr,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Haid  ,shop.haid-center@t-mobile.at,"Haid - II, Top 75 Ikeaplatz 1-8",4053,Haid,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Herrengasse *,shop.graz-herrengasse@t-mobile.at ,Herrengasse 20a ,8010,Graz,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ CITYPARK ,shop.graz-citypark@t-mobile.at,"Lazarettgürtel 55, Top 69 ",8020,Graz,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Seiersberg ,shop.graz-seiersberg@t-mobile.at,"Shopping City Seiersberg, OVE 4/2/10",8055,Seiersberg,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ ECE ,shop.kapfenberg-europaplatz@t-mobile.at,"Europaplatz, Wiener Str. 35a, Top 109",8605,Kapfenberg,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
FMZ Fohnsdorf ,shop.fohnsdorf@t-mobile.at,Arena am Waldfeld 28,8753,Fohnsdorf,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Forum 1,shop.salzburg-forum@t-mobile.at ,Südtiroler Platz 13,5020,Salzburg,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ EUROPARK *,shop.salzburg-europark@t-mobile.at,"Europastraße 1, OG Top 73",5020,Salzburg,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Südpark *,shop.klagenfurt-suedpark@t-mobile.at,Südpark 1,9020,Klagenfurt,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ City Arkaden ,shop.klagenfurt-city-arkaden@t-mobile.at,"ECE City Arkaden, St. Veiter Ring 20",9020,Klagenfurt,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Villach ,shop.villach-hauptplatz@t-mobile.at,Hauptplatz 31,9500,Villach,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Sillpark ,shop.innsbruck-sillpark@t-mobile.at,Museumstrasse 38 Top 2 OG 224,6020,Innsbruck,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ-DEZ *,shop.innsbruck-dez@t-mobile.at,Amraser See Straße 56a,6029,Innsbruck,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Kufstein ,shop.kufstein-unterer-stadtplatz@t-mobile.at,Arkadenplatz 1/G07,6330,Kufstein,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
Lienz ,shop.lienz-johannesplatz@t-mobile.at,Johannesplatz 12,9900,Lienz,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
EKZ Messepark *,shop.dornbirn-messepark@t-mobile.at,"EKZ Messepark, Messestraße 2, BT 4, Top E27",6850,Dornbirn,,T-Mobile shop,Retailer,Yes,No,,,,Miquel,,
