Name point,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening Hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
Circle,http://www.circleshop.net/content/34-fairphone,Brunngasse 3,8001,Zürich,0041432436921,Circle - The sustainable shop,Reseller,yes,No,,05.12.2016,,Yes,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246967,Steinentorberg 20,4051,Basel,,Digitec Galaxus AG Markthalle,"Reseller showroom, no sales point",yes,No,"Mo-Fr: 10:00-19:00
Sa: 09:00-17:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246970,Laupenstrasse 18,3008,Bern,,Digitec Galaxus AG,"Reseller showroom, no sales point",yes,No,"Mo-We: 10:00-19:00
Th: 10:00-20:00
Fr: 10:00-19:00
Sa: 09:00 - 17:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246971,Riedstrasse 8,8953,Dietikon,,Digitec Galaxus AG,"Reseller showroom, no sales point",yes,No,"Mo-Fr : 10:00-19:00
Sa: 09:00-17:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246968,Nidfeldstrasse 5,6010,Kriens,,Digitec Galaxus AG,"Reseller showroom, no sales point",yes,No,"Mo 9:30-18:30
Tu 9:30-18:30
We 9:30-20:00
Th 9:30 - 18:30
Fr 9:30 - 20:00
Sa: 09:00 - 16:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246965,Rue du Grand-Pré 2B,1007,Lausanne,,Digitec Galaxus AG,"Reseller showroom, no sales point",yes,No,"Mo-Fr: 10:00-19:00
Sa: 09:00-16:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246974,Rorschacher Strasse 152-154,9000,St.Gallen,,Digitec Galaxus AG Shopping Silberturm,"Reseller showroom, no sales point",yes,No,"Mo-We: 09:00-19:00
Th: 09:00-20:00
Fr: 09:00-19:00
Sa:08:30 - 17:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246969,Zürcherstrasse 42,8400,Winterthur,,Digitec Galaxus AG,"Reseller showroom, no sales point",yes,No,"Mo-Fr:10:00-19:00
Sa: 09:00-16:00",,,,,
Digitec Galaxus AG,https://www.digitec.ch/de/site/246938,Pfingstweidstrasse 60b,8005,Zürich,,Digitec Galaxus AG,"Reseller showroom, no sales point",yes,No,"Mo-Fr: 09:00-20:00
Sa: 09:00-16:00",,,,,
Umweltarena,http://www.umweltarena.ch/besuch/audio-guide/,Türliackerstrasse 4,8957,Spreitenbach,,Umweltarena,"Venue, FP2 is used for Audioguides",yes,yes,Thur - Fri 10.00 - 18.00 Sat - Sun 10.00 - 17.00,early 2016,,via Swisscom/Tina,,
Faircustomer,https://www.faircustomer.ch/de/index.php?controller=stores,Heinrichstrasse 241,8005,Zürich,,Faircustomer,"Reseller showroom, no sales point",yes,no,"Mo:  10–13 Uhr
Th:  10–13 Uhr
We:  10–13 Uhr
Fr:  10–13 Uhr",early 2016,,"yes, tina",,
why! open computing SA,whyopencomputing.ch,Route de Renens 4,1008,Prilly,,La Bonne Combine,Reseller shop,yes,no,"Mo -Fri: 09:00-12.15 / 13:15-18:30 
Sa:10:00 - 13:00",24-2-2017,,Romane,24/2/2017,
