Location,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Annastr. 9,86150,Augsburg,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Schaezler Str. 2,86150,Augsburg Innenstadt,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Schlossstraße 34 -36,12163,Berlin,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Frankfurter Allee 113  EG rechts,10365,Berlin-Lichtenberg,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Friedrichstraße 150-152,10117,Berlin-Mitte,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Grunerstr. 20,10179,Berlin-Mitte,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Schönhauser Allee 83,10439,Berlin-Prenzlauer Berg,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Schloßstraße 89,12163,Berlin-Steglitz,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Am Einkaufszentrum,44791,Bochum-Harpen,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Platz Am Ritterbrunnen 1  1.OG,38100,Braunschweig,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Braunschweig Damm 33,38100,Braunschweig,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Lloydpassage 8,28195,Bremen-Altstadt,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,AG-Weser-Str. 3,28237,Bremen-Industriehäfen,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Westenhellweg 85-89,44137,Dortmund,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Westenhellweg 102-106,44137,Dortmund,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Bornstraße 160,44145,Dortmund,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Hauptstraße 25/27,1097,Dresden-Neustadt,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Ost Prager Straße 7,1069,Dresden-Seevorstadt,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Luegallee 95,40545,Düsseldorf,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Friedrichstraße 133,40217,Düsseldorf,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Terminal Ring 1,40474,Düsseldorf,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Hunsrückenstr. 52,40213,Düsseldorf-Altstadt,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Limbecker Platz 1a,45127,Essen,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Limbecker Str. 67,45127,Essen,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Kettwigerstr. 5,45127,Essen-Stadtkern,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
Mobilcom Debitel,https://www.mobilcom-debitel.de/,Königsteiner Str. 2 B,65929,Frankfurt am Main,,Mobilcom Debitel,Reseller,yes,No,,12-6-2016,,Nur,12-6-2016,
