Location,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
KPN XL Alkmaar,http://www.kpn.com,Koelmalaan 350,1812 PS,Alkmaar,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
KPN XL Almere ,http://www.kpn.com,Veluwezoom 5,1327 AA ,Almere,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
KPN XL Amersfoort,http://www.kpn.com,Maanlander 9,3824 MN,Amersfoort,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
KPN XL Amsterdam West,http://www.kpn.com,Transformatorweg 74,1014 AK,Amsterdam,020 486 7062,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
"KPN XL Amsterdam Duivendrecht, Spaklerweg 59, 1114 AE Amsterdam, +31 800 0105",http://www.kpn.com,Spaklerweg 59,1114 AE,Duivendrecht,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
"KPN XL Arnhem, Vlamoven 2C, 6826 TN Arnhem, +31 800 0105",http://www.kpn.com,Vlamoven 2c,6826 CT,IJsseloord,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-20:00 Sat 09:00 - 17:00,,,,12/8/2016,
"KPN XL Barendrecht, Donk 1, 2991 LE Barendrecht, +31 800 0105",http://www.kpn.com,Donk 1,2991 LE,Barendrecht,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
KPN XL Breda,http://www.kpn.com,Kruisvoort 18,4814 RZ,Breda,0800-0105,KPN,Reseller,yes,no,Mon - Thurs 08:00-18:00 Fri 08:00-21:00 Sat 09:00 - 17:00 Sun 12:00-17:00,,,,12/8/2016,
KPN XL Den Bosch,http://www.kpn.com,Utopialaan 22,5232 CE,Den Bosch,0800-0105,KPN,Reseller,yes,no,Mon - Thurs 08:00-18:00 Fri 08:00-21:00 Sat 11:00 - 17:00,,,,12/8/2016,
"KPN XL Goes, Albert Plesmanweg 1, 4462 GC Goes, +31 800 0105",http://www.kpn.com,Albert Plesmanweg 1,4462 CG,Goes,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
"KPN XL Groningen, Kieler Bocht 17, 9723 JA Groningen, +31 800 0105",http://www.kpn.com,Kieler Bocht 17,9723 JA,Groningen,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
KPN XL Hengelo,http://www.kpn.com,Höltersweg 30b,7556 BX,Hengelo,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Sat 10:00 - 16:00,,,,12/8/2016,
KPN XL Leeuwarden,http://www.kpn.com,Poolsterweg 2,8938 AN,Leeuwarden,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sa 09:00 - 17:00,,,,12/8/2016,
"KPN XL Leiden, Rooseveltstraat 82, 2321 BM Leiden, +31 800 0105",http://www.kpn.com,Rooseveltstraat 82,2321 BM,Leiden,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sa 09:00 - 17:00,,,,12/8/2016,
KPN XL Nieuwegein,http://www.kpn.com,Ravenswade 1F-1G,3439 LD,Nieuwegein,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Sat 10:00 - 16:00,,,,12/8/2016,
KPN XL Nuth,http://www.kpn.com,Handelstraat 8,6361 KC,Nuth,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-20:00 Sat 09:00 - 17:00,,,,12/8/2016,
"KPN XL Rijswijk, Madame Curielaan 1, 2289 CA Rijswijk, +31 800 0105",http://www.kpn.com,Madame Curielaan 1,2289 CA,Rijswijk,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
"KPN XL Son, Ekkersrijt 4093, 5692 DB Son, +31 800 0105",http://www.kpn.com,Ekkersrijt 4093,5692 DB,Son,0800-0105,KPN,Reseller,yes,no,Mon - Thurs 08:00-18:00 Fri 08:00-21:00 Sat 11:00 - 17:00,,,,12/8/2016,
"KPN XL Rotterdam, Watermanweg 301, 3067 GA Rotterdam, +31 800 0105",http://www.kpn.com,Watermanweg 301,3067 GA,Rotterdam,0800-0105,KPN,Reseller,yes,no,Mon - Thurs 08:00-18:00 Fri 08:00-21:00 Sat 09:00 - 17:00 Sun 12:00-17:00,,,,12/8/2016,
KPN XL Zwolle,http://www.kpn.com,Ceintuurbaan 48a,8024 AA,Zwolle,0800-0105,KPN,Reseller,yes,no,Mon - Fri 08:00-18:00 Thurs 08:00-21:00 Sat 09:00 - 17:00,,,,12/8/2016,
"Hutspot Amsterdam, Van Woustraat 4, 1073 LL Amsterdam, +31 20 223 1331",http://www.hutspotamsterdam.com,Van Woustraat 4,1073 LL,Amsterdam,020-223 1331,Hutspot,Venue,yes,no,Mon - Sat 10.00-19.00 Sun 12.00-18.00,sept 2016,sept 2017,Lina,12/2/2016,
Dream out Loud - Designing for tomorrow's demands,http://www.stedelijk.nl/tentoonstellingen/dream-out-loud,Museumplein 10,1071 DJ,Amsterdam,020-573 2911,Stedelijk Museum,Museum,no,yes,Sat - Thurs 10:00-18:00 Fri 10:00-22:00,26-08-2016,31-12-2016,Lina,12/6/2016,
Museon,http://www.museon.nl,Stadhouderslaan 37,2517 HV,Den Haag,070-338 1338,Museon,Museum,yes,yes,Mon closed except school holidays Tues - Sun 11.00-17.00,,,Lina,12/2/2016,
